first_order_month,months_since,product_category_name,n_cohort,n_active,retention_pct
2016-10-01,0,alimentos,1,1,1
2016-10-01,0,audio,2,2,1
2016-10-01,0,automotivo,8,8,1
2016-10-01,0,bebes,9,9,1
2016-10-01,0,beleza_saude,35,35,1
2016-10-01,0,brinquedos,22,22,1
2016-10-01,0,cama_mesa_banho,5,5,1
2016-10-01,0,climatizacao,4,4,1
2016-10-01,0,consoles_games,7,7,1
2016-10-01,0,cool_stuff,7,7,1
2016-10-01,0,eletronicos,1,1,1
2016-10-01,0,esporte_lazer,17,17,1
2016-10-01,0,fashion_bolsas_e_acessorios,7,7,1
2016-10-01,0,fashion_calcados,1,1,1
2016-10-01,0,fashion_roupa_feminina,1,1,1
2016-10-01,0,fashion_roupa_masculina,1,1,1
2016-10-01,0,ferramentas_jardim,5,5,1
2016-10-01,0,fraldas_higiene,1,1,1
2016-10-01,0,industria_comercio_e_negocios,3,3,1
2016-10-01,0,informatica_acessorios,12,12,1
2016-10-01,0,market_place,5,5,1
2016-10-01,0,moveis_decoracao,48,48,1
2016-10-01,0,moveis_escritorio,6,6,1
2016-10-01,0,perfumaria,26,26,1
2016-10-01,0,pet_shop,4,4,1
2016-10-01,0,relogios_presentes,4,4,1
2016-10-01,0,telefonia,7,7,1
2016-10-01,0,telefonia_fixa,5,5,1
2016-10-01,0,utilidades_domesticas,9,9,1
2016-10-01,6,fashion_bolsas_e_acessorios,7,1,0.14285714285714285
2016-10-01,9,perfumaria,26,1,0.038461538461538464
2016-10-01,11,relogios_presentes,4,1,0.25
2016-10-01,13,moveis_decoracao,48,1,0.020833333333333332
2016-10-01,15,utilidades_domesticas,9,1,0.1111111111111111
2016-10-01,17,consoles_games,7,1,0.14285714285714285
2016-10-01,19,brinquedos,22,1,0.045454545454545456
2016-10-01,19,moveis_decoracao,48,1,0.020833333333333332
2016-10-01,20,perfumaria,26,1,0.038461538461538464
2016-12-01,0,fashion_bolsas_e_acessorios,1,1,1
2016-12-01,1,fashion_bolsas_e_acessorios,1,1,1
2017-01-01,0,agro_industria_e_comercio,2,2,1
2017-01-01,0,alimentos,2,2,1
2017-01-01,0,automotivo,27,27,1
2017-01-01,0,bebes,31,31,1
2017-01-01,0,beleza_saude,79,79,1
2017-01-01,0,brinquedos,41,41,1
2017-01-01,0,cama_mesa_banho,39,39,1
2017-01-01,0,casa_conforto_2,2,2,1
2017-01-01,0,climatizacao,3,3,1
2017-01-01,0,consoles_games,19,19,1
2017-01-01,0,cool_stuff,30,30,1
2017-01-01,0,dvds_blu_ray,1,1,1
2017-01-01,0,eletrodomesticos_2,6,6,1
2017-01-01,0,eletronicos,11,11,1
2017-01-01,0,eletroportateis,6,6,1
2017-01-01,0,esporte_lazer,55,55,1
2017-01-01,0,fashion_bolsas_e_acessorios,28,28,1
2017-01-01,0,fashion_calcados,1,1,1
2017-01-01,0,fashion_roupa_feminina,2,2,1
2017-01-01,0,fashion_roupa_masculina,1,1,1
2017-01-01,0,fashion_underwear_e_moda_praia,2,2,1
2017-01-01,0,ferramentas_jardim,36,36,1
2017-01-01,0,informatica_acessorios,24,24,1
2017-01-01,0,instrumentos_musicais,1,1,1
2017-01-01,0,livros_interesse_geral,2,2,1
2017-01-01,0,malas_acessorios,4,4,1
2017-01-01,0,market_place,5,5,1
2017-01-01,0,moveis_cozinha_area_de_servico_jantar_e_jardim,1,1,1
2017-01-01,0,moveis_decoracao,125,125,1
2017-01-01,0,moveis_escritorio,6,6,1
2017-01-01,0,moveis_quarto,5,5,1
2017-01-01,0,moveis_sala,8,8,1
2017-01-01,0,musica,2,2,1
2017-01-01,0,papelaria,7,7,1
2017-01-01,0,pcs,1,1,1
2017-01-01,0,perfumaria,29,29,1
2017-01-01,0,pet_shop,10,10,1
2017-01-01,0,relogios_presentes,11,11,1
2017-01-01,0,seguros_e_servicos,1,1,1
2017-01-01,0,telefonia,17,17,1
2017-01-01,0,telefonia_fixa,19,19,1
2017-01-01,0,utilidades_domesticas,21,21,1
2017-01-01,1,cama_mesa_banho,39,1,0.02564102564102564
2017-01-01,1,esporte_lazer,55,1,0.018181818181818181
2017-01-01,1,fashion_bolsas_e_acessorios,28,1,0.035714285714285712
2017-01-01,2,brinquedos,41,1,0.024390243902439025
2017-01-01,2,papelaria,7,1,0.14285714285714285
2017-01-01,3,informatica_acessorios,24,1,0.041666666666666664
2017-01-01,4,beleza_saude,79,1,0.012658227848101266
2017-01-01,4,brinquedos,41,1,0.024390243902439025
2017-01-01,4,moveis_decoracao,125,1,0.008
2017-01-01,5,moveis_decoracao,125,1,0.008
2017-01-01,6,cama_mesa_banho,39,1,0.02564102564102564
2017-01-01,6,esporte_lazer,55,1,0.018181818181818181
2017-01-01,6,moveis_decoracao,125,1,0.008
2017-01-01,6,utilidades_domesticas,21,1,0.047619047619047616
2017-01-01,7,beleza_saude,79,1,0.012658227848101266
2017-01-01,10,automotivo,27,1,0.037037037037037035
2017-01-01,10,brinquedos,41,1,0.024390243902439025
2017-01-01,10,fashion_bolsas_e_acessorios,28,1,0.035714285714285712
2017-01-01,11,beleza_saude,79,1,0.012658227848101266
2017-01-01,12,cama_mesa_banho,39,3,0.076923076923076927
2017-01-01,12,moveis_decoracao,125,1,0.008
2017-01-01,12,perfumaria,29,1,0.034482758620689655
2017-01-01,13,ferramentas_jardim,36,2,0.055555555555555552
2017-01-01,13,relogios_presentes,11,1,0.090909090909090912
2017-01-01,14,fashion_bolsas_e_acessorios,28,1,0.035714285714285712
2017-01-01,15,papelaria,7,1,0.14285714285714285
2017-01-01,16,esporte_lazer,55,1,0.018181818181818181
2017-01-01,16,moveis_decoracao,125,1,0.008
2017-01-01,17,beleza_saude,79,2,0.025316455696202531
2017-01-01,17,relogios_presentes,11,1,0.090909090909090912
2017-01-01,19,beleza_saude,79,1,0.012658227848101266
2017-02-01,0,agro_industria_e_comercio,6,6,1
2017-02-01,0,alimentos,8,8,1
2017-02-01,0,audio,5,5,1
2017-02-01,0,automotivo,75,75,1
2017-02-01,0,bebes,30,30,1
2017-02-01,0,beleza_saude,142,142,1
2017-02-01,0,brinquedos,60,60,1
2017-02-01,0,cama_mesa_banho,136,136,1
2017-02-01,0,casa_conforto,3,3,1
2017-02-01,0,casa_construcao,3,3,1
2017-02-01,0,cine_foto,1,1,1
2017-02-01,0,climatizacao,11,11,1
2017-02-01,0,consoles_games,18,18,1
2017-02-01,0,construcao_ferramentas_construcao,3,3,1
2017-02-01,0,construcao_ferramentas_jardim,1,1,1
2017-02-01,0,construcao_ferramentas_seguranca,1,1,1
2017-02-01,0,cool_stuff,68,68,1
2017-02-01,0,dvds_blu_ray,1,1,1
2017-02-01,0,eletrodomesticos,7,7,1
2017-02-01,0,eletrodomesticos_2,1,1,1
2017-02-01,0,eletronicos,14,14,1
2017-02-01,0,eletroportateis,25,25,1
2017-02-01,0,esporte_lazer,131,131,1
2017-02-01,0,fashion_bolsas_e_acessorios,29,29,1
2017-02-01,0,fashion_calcados,2,2,1
2017-02-01,0,fashion_roupa_feminina,3,3,1
2017-02-01,0,fashion_roupa_masculina,6,6,1
2017-02-01,0,fashion_underwear_e_moda_praia,6,6,1
2017-02-01,0,ferramentas_jardim,60,60,1
2017-02-01,0,industria_comercio_e_negocios,1,1,1
2017-02-01,0,informatica_acessorios,91,91,1
2017-02-01,0,instrumentos_musicais,8,8,1
2017-02-01,0,livros_interesse_geral,8,8,1
2017-02-01,0,livros_tecnicos,1,1,1
2017-02-01,0,malas_acessorios,19,19,1
2017-02-01,0,market_place,17,17,1
2017-02-01,0,moveis_cozinha_area_de_servico_jantar_e_jardim,2,2,1
2017-02-01,0,moveis_decoracao,212,212,1
2017-02-01,0,moveis_escritorio,51,51,1
2017-02-01,0,moveis_quarto,1,1,1
2017-02-01,0,moveis_sala,12,12,1
2017-02-01,0,papelaria,19,19,1
2017-02-01,0,pcs,1,1,1
2017-02-01,0,perfumaria,47,47,1
2017-02-01,0,pet_shop,36,36,1
2017-02-01,0,relogios_presentes,32,32,1
2017-02-01,0,tablets_impressao_imagem,8,8,1
2017-02-01,0,telefonia,95,95,1
2017-02-01,0,telefonia_fixa,18,18,1
2017-02-01,0,utilidades_domesticas,61,61,1
2017-02-01,1,beleza_saude,142,1,0.0070422535211267607
2017-02-01,1,papelaria,19,1,0.052631578947368418
2017-02-01,1,perfumaria,47,1,0.021276595744680851
2017-02-01,1,pet_shop,36,1,0.027777777777777776
2017-02-01,2,cool_stuff,68,1,0.014705882352941176
2017-02-01,2,esporte_lazer,131,2,0.015267175572519083
2017-02-01,2,fashion_bolsas_e_acessorios,29,1,0.034482758620689655
2017-02-01,2,malas_acessorios,19,1,0.052631578947368418
2017-02-01,3,moveis_decoracao,212,1,0.0047169811320754715
2017-02-01,4,beleza_saude,142,2,0.014084507042253521
2017-02-01,4,cama_mesa_banho,136,2,0.014705882352941176
2017-02-01,4,informatica_acessorios,91,2,0.02197802197802198
2017-02-01,4,utilidades_domesticas,61,1,0.016393442622950821
2017-02-01,5,beleza_saude,142,1,0.0070422535211267607
2017-02-01,5,esporte_lazer,131,1,0.0076335877862595417
2017-02-01,6,beleza_saude,142,1,0.0070422535211267607
2017-02-01,6,cama_mesa_banho,136,1,0.0073529411764705881
2017-02-01,6,esporte_lazer,131,1,0.0076335877862595417
2017-02-01,6,utilidades_domesticas,61,1,0.016393442622950821
2017-02-01,7,cama_mesa_banho,136,1,0.0073529411764705881
2017-02-01,7,telefonia,95,1,0.010526315789473684
2017-02-01,7,utilidades_domesticas,61,1,0.016393442622950821
2017-02-01,8,brinquedos,60,1,0.016666666666666666
2017-02-01,8,cama_mesa_banho,136,1,0.0073529411764705881
2017-02-01,8,informatica_acessorios,91,1,0.01098901098901099
2017-02-01,9,cama_mesa_banho,136,1,0.0073529411764705881
2017-02-01,9,esporte_lazer,131,1,0.0076335877862595417
2017-02-01,9,informatica_acessorios,91,1,0.01098901098901099
2017-02-01,9,market_place,17,1,0.058823529411764705
2017-02-01,10,eletronicos,14,1,0.071428571428571425
2017-02-01,10,relogios_presentes,32,1,0.03125
2017-02-01,11,beleza_saude,142,1,0.0070422535211267607
2017-02-01,11,cama_mesa_banho,136,1,0.0073529411764705881
2017-02-01,11,malas_acessorios,19,1,0.052631578947368418
2017-02-01,11,papelaria,19,1,0.052631578947368418
2017-02-01,11,perfumaria,47,1,0.021276595744680851
2017-02-01,12,bebes,30,1,0.033333333333333333
2017-02-01,12,pet_shop,36,1,0.027777777777777776
2017-02-01,12,relogios_presentes,32,1,0.03125
2017-02-01,13,cama_mesa_banho,136,1,0.0073529411764705881
2017-02-01,13,ferramentas_jardim,60,1,0.016666666666666666
2017-02-01,13,moveis_decoracao,212,1,0.0047169811320754715
2017-02-01,14,pet_shop,36,2,0.055555555555555552
2017-02-01,15,cama_mesa_banho,136,1,0.0073529411764705881
2017-02-01,17,eletrodomesticos,7,1,0.14285714285714285
2017-02-01,17,moveis_decoracao,212,1,0.0047169811320754715
2017-02-01,17,papelaria,19,1,0.052631578947368418
2017-02-01,17,relogios_presentes,32,1,0.03125
2017-03-01,0,agro_industria_e_comercio,2,2,1
2017-03-01,0,alimentos,19,19,1
2017-03-01,0,alimentos_bebidas,4,4,1
2017-03-01,0,artes,4,4,1
2017-03-01,0,audio,13,13,1
