first_order_month,months_since,cohort_city,n_active,n_cohort,retention_pct
2016-10-01,0,alem paraiba,1,1,1
2016-10-01,0,ananindeua,1,1,1
2016-10-01,0,aparecida de goiania,1,1,1
2016-10-01,0,apuarema,1,1,1
2016-10-01,0,aracaju,1,1,1
2016-10-01,0,bacaxa,1,1,1
2016-10-01,0,bage,1,1,1
2016-10-01,0,balneario barra do sul,1,1,1
2016-10-01,0,barreirinhas,1,1,1
2016-10-01,0,barueri,1,1,1
2016-10-01,0,bayeux,1,1,1
2016-10-01,0,bebedouro,1,1,1
2016-10-01,0,bela cruz,1,1,1
2016-10-01,0,belo horizonte,9,9,1
2016-10-01,0,benedito novo,1,1,1
2016-10-01,0,boa vista,1,1,1
2016-10-01,0,brasilia,6,6,1
2016-10-01,0,cachoeira do sul,1,1,1
2016-10-01,0,cachoeiro de itapemirim,1,1,1
2016-10-01,0,caetanopolis,1,1,1
2016-10-01,0,cambe,1,1,1
2016-10-01,0,campinas,6,6,1
2016-10-01,0,campo mourao,1,1,1
2016-10-01,0,campos do jordao,1,1,1
2016-10-01,0,canoas,1,1,1
2016-10-01,0,cantagalo,1,1,1
2016-10-01,0,capim branco,1,1,1
2016-10-01,0,capinopolis,1,1,1
2016-10-01,0,capivari,1,1,1
2016-10-01,0,caratinga,1,1,1
2016-10-01,0,cariacica,1,1,1
2016-10-01,0,carmo da mata,1,1,1
2016-10-01,0,casa branca,1,1,1
2016-10-01,0,caxias do sul,2,2,1
2016-10-01,0,charqueada,1,1,1
2016-10-01,0,cianorte,1,1,1
2016-10-01,0,cidade gaucha,1,1,1
2016-10-01,0,condor,1,1,1
2016-10-01,0,contagem,1,1,1
2016-10-01,0,coromandel,1,1,1
2016-10-01,0,coronel fabriciano,1,1,1
2016-10-01,0,cotia,1,1,1
2016-10-01,0,cuiaba,1,1,1
2016-10-01,0,curitiba,5,5,1
2016-10-01,0,duque de caxias,1,1,1
2016-10-01,0,eunapolis,1,1,1
2016-10-01,0,faxinal dos guedes,1,1,1
2016-10-01,0,ferraz de vasconcelos,1,1,1
2016-10-01,0,fortaleza,4,4,1
2016-10-01,0,gaspar,1,1,1
2016-10-01,0,goiania,4,4,1
2016-10-01,0,gravatal,1,1,1
2016-10-01,0,guapimirim,1,1,1
2016-10-01,0,guarulhos,1,1,1
