first_order_month,months_since,cohort_state,n_active,n_cohort,retention_pct
2016-10-01,0,AL,1,1,1
2016-10-01,0,BA,3,3,1
2016-10-01,0,CE,6,6,1
2016-10-01,0,DF,6,6,1
2016-10-01,0,ES,3,3,1
2016-10-01,0,GO,7,7,1
2016-10-01,0,MA,4,4,1
2016-10-01,0,MG,34,34,1
2016-10-01,0,MT,1,1,1
2016-10-01,0,PA,4,4,1
2016-10-01,0,PB,1,1,1
2016-10-01,0,PE,6,6,1
2016-10-01,0,PI,1,1,1
2016-10-01,0,PR,19,19,1
2016-10-01,0,RJ,40,40,1
2016-10-01,0,RN,4,4,1
2016-10-01,0,RR,1,1,1
2016-10-01,0,RS,17,17,1
2016-10-01,0,SC,9,9,1
2016-10-01,0,SE,3,3,1
2016-10-01,0,SP,92,92,1
2016-10-01,6,SP,1,92,0.010869565217391304
2016-10-01,9,RJ,1,40,0.025
2016-10-01,11,SP,1,92,0.010869565217391304
2016-10-01,13,SC,1,9,0.1111111111111111
2016-10-01,15,SP,1,92,0.010869565217391304
2016-10-01,17,RJ,1,40,0.025
2016-10-01,19,MG,2,34,0.058823529411764705
2016-10-01,20,GO,1,7,0.14285714285714285
2016-10-01,20,SP,1,92,0.010869565217391304
2016-12-01,0,PR,1,1,1
2016-12-01,1,PR,1,1,1
2017-01-01,0,AC,1,1,1
2017-01-01,0,AL,2,2,1
2017-01-01,0,BA,23,23,1
2017-01-01,0,CE,8,8,1
2017-01-01,0,DF,13,13,1
2017-01-01,0,ES,9,9,1
2017-01-01,0,GO,17,17,1
2017-01-01,0,MA,6,6,1
2017-01-01,0,MG,100,100,1
2017-01-01,0,MS,1,1,1
2017-01-01,0,MT,9,9,1
2017-01-01,0,PA,10,10,1
2017-01-01,0,PB,2,2,1
2017-01-01,0,PE,9,9,1
2017-01-01,0,PI,7,7,1
2017-01-01,0,PR,47,47,1
2017-01-01,0,RJ,87,87,1
2017-01-01,0,RN,5,5,1
2017-01-01,0,RO,3,3,1
2017-01-01,0,RS,49,49,1
2017-01-01,0,SC,26,26,1
2017-01-01,0,SE,4,4,1
2017-01-01,0,SP,277,277,1
2017-01-01,0,TO,2,2,1
2017-01-01,1,RJ,1,87,0.011494252873563218
2017-01-01,1,SP,1,277,0.0036101083032490976
2017-01-01,2,MG,1,100,0.01
2017-01-01,2,RJ,1,87,0.011494252873563218
2017-01-01,3,PR,1,47,0.021276595744680851
2017-01-01,4,MG,1,100,0.01
2017-01-01,4,RS,1,49,0.020408163265306121
2017-01-01,4,SP,1,277,0.0036101083032490976
2017-01-01,5,SP,1,277,0.0036101083032490976
2017-01-01,6,RJ,1,87,0.011494252873563218
2017-01-01,6,RS,1,49,0.020408163265306121
2017-01-01,6,SP,1,277,0.0036101083032490976
2017-01-01,7,SP,1,277,0.0036101083032490976
2017-01-01,8,RO,1,3,0.33333333333333331
2017-01-01,10,DF,1,13,0.076923076923076927
2017-01-01,10,MG,1,100,0.01
2017-01-01,10,MT,1,9,0.1111111111111111
2017-01-01,11,MG,1,100,0.01
2017-01-01,12,DF,1,13,0.076923076923076927
2017-01-01,12,MG,1,100,0.01
2017-01-01,12,PR,1,47,0.021276595744680851
2017-01-01,12,RS,1,49,0.020408163265306121
2017-01-01,12,SP,1,277,0.0036101083032490976
2017-01-01,13,ES,1,9,0.1111111111111111
2017-01-01,13,MG,1,100,0.01
2017-01-01,13,SP,1,277,0.0036101083032490976
2017-01-01,14,RO,1,3,0.33333333333333331
2017-01-01,15,MG,1,100,0.01
2017-01-01,16,MG,1,100,0.01
2017-01-01,16,SP,1,277,0.0036101083032490976
2017-01-01,17,MG,1,100,0.01
2017-01-01,17,RJ,1,87,0.011494252873563218
2017-01-01,17,SP,1,277,0.0036101083032490976
2017-01-01,19,SP,1,277,0.0036101083032490976
2017-02-01,0,AC,3,3,1
2017-02-01,0,AL,12,12,1
2017-02-01,0,AM,5,5,1
2017-02-01,0,AP,2,2,1
2017-02-01,0,BA,57,57,1
2017-02-01,0,CE,13,13,1
